"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","191",NA,242.308887863367,5926632.22930292
"Great Central","BYO","192",NA,236.223402826446,5979632.07323795
"Great Central","BYO","193",NA,332.271828695731,5712636.12431227
"Great Central","BYO","194",NA,385.585308643026,5409769.90393569
"Great Central","BYO","195",NA,284.487840442178,5935880.88616156
"Great Central","BYO","196",NA,358.133311668231,5752401.29526034
"Great Central","BYO","197",NA,354.573863837096,5861337.26343358
"Great Central","BYO","198",NA,319.373615795689,5789927.22942331
"Great Central","BYO","199",NA,343.867365889947,5732546.67862655
"Great Central","BYO","200",NA,376.065206280464,6179152.96986745
"Great Central","BYO","201",NA,258.184733155614,5773844.76470854
"Great Central","BYO","202",NA,328.313450911373,6312514.45313776
"Great Central","BYO","203",NA,284.050777129983,5588500.48637669
"Great Central","BYO","204",NA,279.425925315253,6033390.59286078
"Great Central","BYO","205",NA,286.525812461474,5774199.17938877
"Great Central","BYO","206",NA,278.286747255388,5515203.0946583
"Great Central","BYO","207",NA,397.328203320136,5664145.60055847
"Great Central","BYO","208",NA,444.670436504433,5224560.45714702
"Great Central","BYO","209",NA,259.962665468904,5781021.25156376
"Great Central","BYO","210",NA,216.698930520262,6044503.5828853
"Great Central","BYO","211",NA,371.643288164405,5870569.71024123
"Great Central","BYO","212",NA,390.020247198213,5425648.100102
"Great Central","BYO","213",NA,288.897049009015,6048043.1982342
"Great Central","BYO","214",NA,264.078429881932,5775102.29732221
"Great Central","BYO","215",NA,280.617209904979,6235414.99047952
"Great Central","BYO","216",NA,360.216547325497,5635153.48551868
"Great Central","BYO","217",NA,336.413410659327,5059515.90178781
"Great Central","BYO","218",NA,303.309580610102,5398828.16220568
"Great Central","BYO","219",NA,327.757806730541,6005106.79713965
"Great Central","BYO","220",NA,334.132392412098,5897917.69964881
"Great Central","BYO","221",NA,236.000959944515,6438441.43200406
"Great Central","BYO","222",NA,292.449566923666,5786399.25062023
"Great Central","BYO","223",NA,347.451588850815,6058880.42340999
"Great Central","BYO","224",NA,319.358548069636,5948433.68791526
"Great Central","BYO","225",NA,294.953349310793,6245562.73275527
"Great Central","BYO","226",NA,420.236528192847,5481608.82916856
"Great Central","BYO","227",NA,319.781799989792,5777650.26656258
"Great Central","BYO","228",NA,261.32585451854,5980515.08734631
"Great Central","BYO","229",NA,255.755536516844,5865363.93544816
"Great Central","BYO","230",NA,340.758595114704,6243721.36264619
"Great Central","BYO","231",NA,275.174320157126,5970397.57884235
"Great Central","BYO","232",NA,391.974346991548,5437777.78554828
"Great Central","BYO","233",NA,390.281244918297,5934079.45815439
"Great Central","BYO","234",NA,335.89080987112,5654558.15639153
"Great Central","BYO","235",NA,450.290573660818,5661532.77242693
"Great Central","BYO","236",NA,312.826247055471,6011176.34390099
"Great Central","BYO","237",NA,329.165093361488,5533022.88764088
"Great Central","BYO","238",NA,266.925188946857,6192974.06115118
"Great Central","BYO","239",NA,336.462113413865,5626305.30840434
"Great Central","BYO","240",NA,295.688401427815,6111867.07141989
"Great Central","BYO","241",NA,309.532608146948,5810485.71246503
"Great Central","BYO","242",NA,348.58340549311,5763149.32194713
"Great Central","BYO","243",NA,373.156180770024,5883125.80460082
"Great Central","BYO","244",NA,354.563618953881,5585513.76689632
"Great Central","BYO","245",NA,369.354230191202,5597350.82034173
"Great Central","BYO","246",NA,291.03436156978,5550608.54223377
"Great Central","BYO","247",NA,269.313473144233,5805165.12515168
"Great Central","BYO","248",NA,329.35291776226,5638391.84216385
"Great Central","BYO","249",NA,247.877906097797,5779800.10648213
"Great Central","BYO","250",NA,407.35380157804,5610437.10951275
"Great Central","BYO","251",NA,243.365040385352,5914318.59833424
"Great Central","BYO","252",NA,356.257014201313,5621819.88522598
"Great Central","BYO","253",NA,329.073866991734,5395173.09960781
"Great Central","BYO","254",NA,341.626328474231,5515532.03458377
"Great Central","BYO","255",NA,378.735376093933,5722427.15493721
"Great Central","BYO","256",NA,363.099653108879,5542748.01764326
"Great Central","BYO","257",NA,280.192376760612,6263255.29131812
"Great Central","BYO","258",NA,277.160638059174,5913519.67664552
"Great Central","BYO","259",NA,398.176167728181,5603518.38362769
"Great Central","BYO","260",NA,485.446959533532,6008909.01455449
"Great Central","BYO","261",NA,281.475598820467,5332603.67937192
"Great Central","BYO","262",NA,252.987027772867,5662624.61983393
"Great Central","BYO","263",NA,340.573876235411,5537133.46268328
"Great Central","BYO","264",NA,251.256868521871,5635939.15605823
"Great Central","BYO","265",NA,358.626410729576,5403106.64103466
"Great Central","BYO","266",NA,317.920148787107,6102457.14508099
"Great Central","BYO","267",NA,346.251421909198,5917074.4413952
"Great Central","BYO","268",NA,320.444230666182,5862776.45549634
"Great Central","BYO","269",NA,227.870837470811,5898174.80996769
"Great Central","BYO","270",NA,246.110456421613,5819650.1432149
"Great Central","BYO","271",NA,186.236075929068,6009771.34425079
"Great Central","BYO","272",NA,314.359755076514,5857489.26693182
"Great Central","BYO","273",NA,284.31641880736,5782832.88533332
"Great Central","BYO","274",NA,334.02596071298,5644377.77512019
"Great Central","BYO","275",NA,306.069954541824,5673626.21275242
"Great Central","BYO","276",NA,292.696347208581,5746068.59843151
"Great Central","BYO","277",NA,365.826363437509,5388101.28639855
"Great Central","BYO","278",NA,266.778767963791,5892930.4330371
"Great Central","BYO","279",NA,266.683705700155,5791811.94413288
"Great Central","BYO","280",NA,332.188978797385,5825205.12941217
"Great Central","BYO","281",NA,369.321143567206,6046093.87745253
"Great Central","BYO","282",NA,350.892160034653,5400356.82204341
"Great Central","BYO","283",NA,355.422176709452,5539877.17501421
"Great Central","BYO","284",NA,318.600690500182,5994537.74970135
"Great Central","BYO","285",NA,293.394224626714,5693407.00056457
"Great Central","BYO","286",NA,322.949567767518,5988818.30517559
"Great Central","BYO","287",NA,319.447868946864,5685305.18981359
"Great Central","BYO","288",NA,333.023656230135,5891630.78286052
"Great Central","BYO","289",NA,261.754554149369,5675744.82525418
"Great Central","BYO","290",NA,298.818734501744,5940486.42080898
"Great Central","BYO","291",NA,225.289280906817,6101283.86743374
