date,CUTI,lat
2017-03-15T00:00:00Z,-0.54,45N
2017-04-15T00:00:00Z,-0.353,45N
2017-05-15T00:00:00Z,0.379,45N
2017-06-15T00:00:00Z,0.284,45N
2017-07-15T00:00:00Z,0.81,45N
2017-08-15T00:00:00Z,0.507,45N
2017-09-15T00:00:00Z,0.168,45N
2017-10-15T00:00:00Z,0.048,45N
2017-11-15T00:00:00Z,-0.821,45N
2017-12-15T00:00:00Z,-0.009,45N
2018-01-15T00:00:00Z,-0.688,45N
2018-02-15T00:00:00Z,0.25,45N
2018-03-15T00:00:00Z,-0.062,45N
2018-04-15T00:00:00Z,-0.129,45N
2018-05-15T00:00:00Z,0.45,45N
2018-06-15T00:00:00Z,0.292,45N
2018-07-15T00:00:00Z,0.623,45N
2018-08-15T00:00:00Z,0.386,45N
2018-09-15T00:00:00Z,0.253,45N
2018-10-15T00:00:00Z,0.032,45N
2018-11-15T00:00:00Z,-0.2,45N
2018-12-15T00:00:00Z,-0.681,45N
2019-01-15T00:00:00Z,-0.414,45N
2019-02-15T00:00:00Z,0.103,45N
2019-03-15T00:00:00Z,-0.009,45N
2019-04-15T00:00:00Z,0.096,45N
2019-05-15T00:00:00Z,0.393,45N
2019-06-15T00:00:00Z,0.601,45N
2019-07-15T00:00:00Z,0.271,45N
2019-08-15T00:00:00Z,0.345,45N
2019-09-15T00:00:00Z,0.065,45N
2019-10-15T00:00:00Z,0.178,45N
2019-11-15T00:00:00Z,0.311,45N
2019-12-15T00:00:00Z,-0.422,45N
2020-01-15T00:00:00Z,-1.055,45N
2020-02-15T00:00:00Z,0.08,45N
2020-03-15T00:00:00Z,0.112,45N
2020-04-15T00:00:00Z,0.255,45N
2020-05-15T00:00:00Z,0.021,45N
2020-06-15T00:00:00Z,0.325,45N
2020-07-15T00:00:00Z,0.618,45N
2020-08-15T00:00:00Z,0.42,45N
2020-09-15T00:00:00Z,-0.048,45N
2020-10-15T00:00:00Z,0.196,45N
2020-11-15T00:00:00Z,-0.34,45N
2020-12-15T00:00:00Z,-0.444,45N
2021-01-15T00:00:00Z,-0.567,45N
2021-02-15T00:00:00Z,-0.076,45N
2021-03-15T00:00:00Z,-0.158,45N
2021-04-15T00:00:00Z,0.381,45N
2021-05-15T00:00:00Z,0.375,45N
2021-06-15T00:00:00Z,0.228,45N
2021-07-15T00:00:00Z,0.74,45N
2021-08-15T00:00:00Z,0.444,45N
2021-09-15T00:00:00Z,0.188,45N
2021-10-15T00:00:00Z,-0.46,45N
2021-11-15T00:00:00Z,-0.331,45N
2021-12-15T00:00:00Z,-0.179,45N
2022-01-15T00:00:00Z,-0.287,45N
2022-02-15T00:00:00Z,0.162,45N
2022-03-15T00:00:00Z,-0.082,45N
2022-04-15T00:00:00Z,-0.098,45N
2022-05-15T00:00:00Z,-0.001,45N
2022-06-15T00:00:00Z,0.1,45N
2022-07-15T00:00:00Z,0.509,45N
2022-08-15T00:00:00Z,0.212,45N
2022-09-15T00:00:00Z,0.181,45N
2022-10-15T00:00:00Z,0.214,45N
2022-11-15T00:00:00Z,-0.126,45N
2022-12-15T00:00:00Z,-0.594,45N
2023-01-15T00:00:00Z,-0.486,45N
2023-02-15T00:00:00Z,0.066,45N
2023-03-15T00:00:00Z,-0.066,45N
2023-04-15T00:00:00Z,-0.226,45N
2023-05-15T00:00:00Z,0.398,45N
2023-06-15T00:00:00Z,0.553,45N
2023-07-15T00:00:00Z,0.355,45N
2023-08-15T00:00:00Z,0.421,45N
2023-09-15T00:00:00Z,-0.126,45N
2023-10-15T00:00:00Z,-0.006,45N
2023-11-15T00:00:00Z,-0.094,45N
2023-12-15T00:00:00Z,-0.482,45N
2024-01-15T00:00:00Z,-0.44,45N
2024-02-15T00:00:00Z,-0.131,45N
2024-03-15T00:00:00Z,-0.314,45N
2024-04-15T00:00:00Z,0.27,45N
2024-05-15T00:00:00Z,0.428,45N
2024-06-15T00:00:00Z,0.314,45N
2024-07-15T00:00:00Z,0.529,45N
2024-08-15T00:00:00Z,0.226,45N
2024-09-15T00:00:00Z,0.276,45N
2024-10-15T00:00:00Z,-0.026,45N
2024-11-15T00:00:00Z,-0.728,45N
2024-12-15T00:00:00Z,-1.132,45N
2025-01-15T00:00:00Z,0,45N
2025-02-15T00:00:00Z,-0.519,45N
2025-03-15T00:00:00Z,-0.526,45N
