date,BEUTI,lat
2004-02-15T00:00:00Z,-2.219,45N
2004-03-15T00:00:00Z,2.348,45N
2004-04-15T00:00:00Z,0.962,45N
2004-05-15T00:00:00Z,0.413,45N
2004-06-15T00:00:00Z,0.524,45N
2004-07-15T00:00:00Z,0.803,45N
2004-08-15T00:00:00Z,0.548,45N
2004-09-15T00:00:00Z,0.232,45N
2004-10-15T00:00:00Z,-0.038,45N
2004-11-15T00:00:00Z,2.064,45N
2004-12-15T00:00:00Z,-1.408,45N
2005-01-15T00:00:00Z,-3.96,45N
2005-02-15T00:00:00Z,1.764,45N
2005-03-15T00:00:00Z,-1.503,45N
2005-04-15T00:00:00Z,0.623,45N
2005-05-15T00:00:00Z,-0.182,45N
2005-06-15T00:00:00Z,0.108,45N
2005-07-15T00:00:00Z,1.121,45N
2005-08-15T00:00:00Z,1.52,45N
2005-09-15T00:00:00Z,1.985,45N
2005-10-15T00:00:00Z,-0.356,45N
2005-11-15T00:00:00Z,0.055,45N
2005-12-15T00:00:00Z,-4.977,45N
2006-01-15T00:00:00Z,-1.918,45N
2006-02-15T00:00:00Z,0.474,45N
2006-03-15T00:00:00Z,-6.512,45N
2006-04-15T00:00:00Z,2.45,45N
2006-05-15T00:00:00Z,5.747,45N
2006-06-15T00:00:00Z,1.689,45N
2006-07-15T00:00:00Z,1.528,45N
2006-08-15T00:00:00Z,3.156,45N
2006-09-15T00:00:00Z,0.732,45N
2006-10-15T00:00:00Z,1.135,45N
2006-11-15T00:00:00Z,-2.379,45N
2006-12-15T00:00:00Z,-3.938,45N
2007-01-15T00:00:00Z,1.017,45N
2007-02-15T00:00:00Z,-2.552,45N
2007-03-15T00:00:00Z,0.736,45N
2007-04-15T00:00:00Z,0.717,45N
2007-05-15T00:00:00Z,7.923,45N
2007-06-15T00:00:00Z,0.472,45N
2007-07-15T00:00:00Z,0.372,45N
2007-08-15T00:00:00Z,0.327,45N
2007-09-15T00:00:00Z,0.884,45N
2007-10-15T00:00:00Z,0.262,45N
2007-11-15T00:00:00Z,0.562,45N
2007-12-15T00:00:00Z,-10.553,45N
2008-01-15T00:00:00Z,-5.914,45N
2008-02-15T00:00:00Z,-1.289,45N
2008-03-15T00:00:00Z,0.956,45N
2008-04-15T00:00:00Z,5.266,45N
2008-05-15T00:00:00Z,10.097,45N
2008-06-15T00:00:00Z,4.376,45N
2008-07-15T00:00:00Z,5.031,45N
2008-08-15T00:00:00Z,0.815,45N
2008-09-15T00:00:00Z,2.087,45N
2008-10-15T00:00:00Z,-0.438,45N
2008-11-15T00:00:00Z,-1.025,45N
2008-12-15T00:00:00Z,-0.92,45N
2009-01-15T00:00:00Z,0.529,45N
2009-02-15T00:00:00Z,0.501,45N
2009-03-15T00:00:00Z,1.458,45N
2009-04-15T00:00:00Z,5.814,45N
2009-05-15T00:00:00Z,4.815,45N
2009-06-15T00:00:00Z,2.868,45N
2009-07-15T00:00:00Z,4.598,45N
2009-08-15T00:00:00Z,1.492,45N
2009-09-15T00:00:00Z,-0.021,45N
2009-10-15T00:00:00Z,0.008,45N
2009-11-15T00:00:00Z,-1.8,45N
2009-12-15T00:00:00Z,-4.174,45N
2010-01-15T00:00:00Z,-9.561,45N
2010-02-15T00:00:00Z,-1.632,45N
2010-03-15T00:00:00Z,-1.151,45N
2010-04-15T00:00:00Z,0.72,45N
2010-05-15T00:00:00Z,1.197,45N
2010-06-15T00:00:00Z,0.482,45N
2010-07-15T00:00:00Z,6.774,45N
2010-08-15T00:00:00Z,2.789,45N
2010-09-15T00:00:00Z,-0.018,45N
2010-10-15T00:00:00Z,-0.035,45N
2010-11-15T00:00:00Z,-0.99,45N
2010-12-15T00:00:00Z,-9.392,45N
2011-01-15T00:00:00Z,0.121,45N
2011-02-15T00:00:00Z,1.85,45N
2011-03-15T00:00:00Z,-8.544,45N
2011-04-15T00:00:00Z,3.24,45N
2011-05-15T00:00:00Z,0.8,45N
2011-06-15T00:00:00Z,0.993,45N
2011-07-15T00:00:00Z,2.693,45N
2011-08-15T00:00:00Z,2.12,45N
2011-09-15T00:00:00Z,0.553,45N
2011-10-15T00:00:00Z,0.011,45N
2011-11-15T00:00:00Z,-1.497,45N
2011-12-15T00:00:00Z,3.266,45N
2012-01-15T00:00:00Z,-10.551,45N
2012-02-15T00:00:00Z,0.562,45N
2012-03-15T00:00:00Z,-14.831,45N
2012-04-15T00:00:00Z,-3.867,45N
2012-05-15T00:00:00Z,4.752,45N
2012-06-15T00:00:00Z,0.762,45N
2012-07-15T00:00:00Z,2.482,45N
2012-08-15T00:00:00Z,2.375,45N
2012-09-15T00:00:00Z,2.184,45N
2012-10-15T00:00:00Z,0.124,45N
2012-11-15T00:00:00Z,-1.172,45N
2012-12-15T00:00:00Z,-1.014,45N
2013-01-15T00:00:00Z,-0.335,45N
2013-02-15T00:00:00Z,-0.963,45N
2013-03-15T00:00:00Z,-1.249,45N
2013-04-15T00:00:00Z,1.51,45N
2013-05-15T00:00:00Z,1.952,45N
2013-06-15T00:00:00Z,1.265,45N
2013-07-15T00:00:00Z,3.721,45N
2013-08-15T00:00:00Z,1.599,45N
2013-09-15T00:00:00Z,0.287,45N
2013-10-15T00:00:00Z,0.287,45N
2013-11-15T00:00:00Z,-0.212,45N
2013-12-15T00:00:00Z,-0.233,45N
2014-01-15T00:00:00Z,-3.516,45N
2014-02-15T00:00:00Z,-5.451,45N
2014-03-15T00:00:00Z,-3.749,45N
2014-04-15T00:00:00Z,1.109,45N
2014-05-15T00:00:00Z,0.306,45N
2014-06-15T00:00:00Z,1.656,45N
2014-07-15T00:00:00Z,1.181,45N
2014-08-15T00:00:00Z,1.375,45N
2014-09-15T00:00:00Z,0.265,45N
2014-10-15T00:00:00Z,0.013,45N
2014-11-15T00:00:00Z,-0.008,45N
2014-12-15T00:00:00Z,-0.262,45N
2015-01-15T00:00:00Z,-0.297,45N
2015-02-15T00:00:00Z,-0.818,45N
2015-03-15T00:00:00Z,-0.031,45N
2015-04-15T00:00:00Z,0.779,45N
2015-05-15T00:00:00Z,2.608,45N
2015-06-15T00:00:00Z,5.254,45N
2015-07-15T00:00:00Z,1.792,45N
2015-08-15T00:00:00Z,1.775,45N
2015-09-15T00:00:00Z,0.512,45N
2015-10-15T00:00:00Z,-0.166,45N
2015-11-15T00:00:00Z,-0.006,45N
2015-12-15T00:00:00Z,-1.42,45N
2016-01-15T00:00:00Z,-3.128,45N
2016-02-15T00:00:00Z,-1.985,45N
2016-03-15T00:00:00Z,-2.329,45N
2016-04-15T00:00:00Z,0.405,45N
2016-05-15T00:00:00Z,3.664,45N
2016-06-15T00:00:00Z,2.859,45N
2016-07-15T00:00:00Z,2.387,45N
2016-08-15T00:00:00Z,1.611,45N
2016-09-15T00:00:00Z,2.015,45N
2016-10-15T00:00:00Z,-0.337,45N
2016-11-15T00:00:00Z,0,45N
2016-12-15T00:00:00Z,-0.126,45N
2017-01-15T00:00:00Z,-3.904,45N
2017-02-15T00:00:00Z,-1.018,45N
2017-03-15T00:00:00Z,-4.663,45N
2017-04-15T00:00:00Z,-2.735,45N
2017-05-15T00:00:00Z,3.911,45N
2017-06-15T00:00:00Z,3.119,45N
2017-07-15T00:00:00Z,1.975,45N
2017-08-15T00:00:00Z,3.799,45N
2017-09-15T00:00:00Z,1.486,45N
2017-10-15T00:00:00Z,0.583,45N
2017-11-15T00:00:00Z,-1.349,45N
2017-12-15T00:00:00Z,-0.187,45N
2018-01-15T00:00:00Z,-3.014,45N
2018-02-15T00:00:00Z,1.912,45N
2018-03-15T00:00:00Z,-0.974,45N
2018-04-15T00:00:00Z,-1.471,45N
2018-05-15T00:00:00Z,3.672,45N
2018-06-15T00:00:00Z,1.119,45N
2018-07-15T00:00:00Z,3.394,45N
2018-08-15T00:00:00Z,2.248,45N
2018-09-15T00:00:00Z,1.2,45N
2018-10-15T00:00:00Z,0.348,45N
2018-11-15T00:00:00Z,-0.31,45N
2018-12-15T00:00:00Z,-2.896,45N
2019-01-15T00:00:00Z,-1.953,45N
2019-02-15T00:00:00Z,0.564,45N
2019-03-15T00:00:00Z,-0.124,45N
2019-04-15T00:00:00Z,0.378,45N
2019-05-15T00:00:00Z,2.811,45N
2019-06-15T00:00:00Z,5.887,45N
2019-07-15T00:00:00Z,1.81,45N
2019-08-15T00:00:00Z,1.34,45N
2019-09-15T00:00:00Z,0.233,45N
2019-10-15T00:00:00Z,0.289,45N
2019-11-15T00:00:00Z,1.233,45N
2019-12-15T00:00:00Z,-3.52,45N
2020-01-15T00:00:00Z,-9.548,45N
2020-02-15T00:00:00Z,0.719,45N
2020-03-15T00:00:00Z,1.31,45N
2020-04-15T00:00:00Z,3.272,45N
2020-05-15T00:00:00Z,-0.976,45N
2020-06-15T00:00:00Z,3.171,45N
2020-07-15T00:00:00Z,6.159,45N
2020-08-15T00:00:00Z,3.848,45N
2020-09-15T00:00:00Z,-1.958,45N
2020-10-15T00:00:00Z,0.74,45N
2020-11-15T00:00:00Z,-0.81,45N
2020-12-15T00:00:00Z,-2.891,45N
2021-01-15T00:00:00Z,-4.732,45N
2021-02-15T00:00:00Z,-0.721,45N
2021-03-15T00:00:00Z,-1.81,45N
2021-04-15T00:00:00Z,5.576,45N
2021-05-15T00:00:00Z,7.698,45N
2021-06-15T00:00:00Z,2.068,45N
2021-07-15T00:00:00Z,6.991,45N
2021-08-15T00:00:00Z,4.153,45N
2021-09-15T00:00:00Z,1.514,45N
2021-10-15T00:00:00Z,-0.151,45N
2021-11-15T00:00:00Z,-0.25,45N
2021-12-15T00:00:00Z,-0.54,45N
2022-01-15T00:00:00Z,-2.938,45N
2022-02-15T00:00:00Z,0.927,45N
2022-03-15T00:00:00Z,-1.364,45N
2022-04-15T00:00:00Z,-1.56,45N
2022-05-15T00:00:00Z,0.277,45N
2022-06-15T00:00:00Z,1.538,45N
2022-07-15T00:00:00Z,4.773,45N
2022-08-15T00:00:00Z,2.381,45N
2022-09-15T00:00:00Z,1.332,45N
2022-10-15T00:00:00Z,3.386,45N
2022-11-15T00:00:00Z,-0.196,45N
2022-12-15T00:00:00Z,-6.008,45N
2023-01-15T00:00:00Z,-4.794,45N
2023-02-15T00:00:00Z,0.955,45N
2023-03-15T00:00:00Z,-0.94,45N
2023-04-15T00:00:00Z,-3.595,45N
2023-05-15T00:00:00Z,4.705,45N
2023-06-15T00:00:00Z,5.414,45N
2023-07-15T00:00:00Z,3.385,45N
2023-08-15T00:00:00Z,3.7,45N
2023-09-15T00:00:00Z,0.711,45N
2023-10-15T00:00:00Z,0.032,45N
2023-11-15T00:00:00Z,-0.005,45N
2023-12-15T00:00:00Z,-0.973,45N
2024-01-15T00:00:00Z,-2.231,45N
2024-02-15T00:00:00Z,-0.791,45N
2024-03-15T00:00:00Z,-1.758,45N
2024-04-15T00:00:00Z,1.898,45N
2024-05-15T00:00:00Z,2.621,45N
2024-06-15T00:00:00Z,2.432,45N
2024-07-15T00:00:00Z,5.377,45N
2024-08-15T00:00:00Z,1.5,45N
2024-09-15T00:00:00Z,2.057,45N
2024-10-15T00:00:00Z,0.592,45N
2024-11-15T00:00:00Z,-1.377,45N
2024-12-15T00:00:00Z,-6.375,45N
2025-01-15T00:00:00Z,0.105,45N
2025-02-15T00:00:00Z,-7.694,45N
2025-03-15T00:00:00Z,-7.427,45N
