date,MHW_area,MHW_intensity,MHW_pct_cover
1982-05-08T00:00:00Z,72317.69,2.1318204,0.027048528
1982-05-09T00:00:00Z,60507.117,2.0861905,0.0159109
1982-05-10T00:00:00Z,40932.773,2.0648842,0.002386635
1982-05-11T00:00:00Z,20932.117,2.0199442,0.00159109
1982-05-12T00:00:00Z,15356.032,1.5245893,0
1982-05-13T00:00:00Z,22603.467,2.1594622,0
1982-05-14T00:00:00Z,40588.137,1.5742475,0
1982-05-15T00:00:00Z,27122.344,1.5262601,0
1982-05-16T00:00:00Z,36641.793,1.6598881,0
1982-05-17T00:00:00Z,41036.348,1.6579355,0
1982-05-18T00:00:00Z,36762.117,1.405429,0
1982-05-19T00:00:00Z,74440.516,1.8753662,0.00318218
1982-05-20T00:00:00Z,105705.92,1.7561057,0
1982-05-21T00:00:00Z,66645.92,1.5386796,0
1982-05-22T00:00:00Z,17117.969,1.68847,0
1982-05-23T00:00:00Z,9058.983,1.4104092,0
1982-05-24T00:00:00Z,22079.992,2.2089465,0.026252983
1982-05-25T00:00:00Z,231167.08,1.9038233,0.03261734
1982-05-26T00:00:00Z,261009.31,1.8141409,0.023070803
1982-05-27T00:00:00Z,138329.9,1.7927483,0.03818616
1982-05-28T00:00:00Z,86451.26,1.6086464,0.0159109
1982-05-29T00:00:00Z,60646.965,1.6041912,0.007159905
1982-05-30T00:00:00Z,34660.02,1.5950327,0.008750995
1982-05-31T00:00:00Z,10183.647,1.5699257,0.012728719
1982-06-01T00:00:00Z,0,,0.002386635
1982-06-02T00:00:00Z,993.03534,1.6230733,0
1982-06-03T00:00:00Z,425.17596,1.5695685,0
1982-06-04T00:00:00Z,34365.562,1.566787,0
1982-06-05T00:00:00Z,3614.6235,1.6308298,0
1982-06-06T00:00:00Z,0,,0
1982-06-07T00:00:00Z,227.87625,1.7591316,0
1982-06-08T00:00:00Z,9322.486,1.7031883,0.00159109
1982-06-09T00:00:00Z,4169.2993,1.8703581,0.00159109
1982-06-10T00:00:00Z,12867.772,1.535599,0
1982-06-11T00:00:00Z,26039.512,2.1608343,0.00159109
1982-06-12T00:00:00Z,65340.793,1.8712159,0.00159109
1982-06-13T00:00:00Z,68164.89,1.826444,0
1982-06-14T00:00:00Z,57500.55,1.7976532,0
1982-06-15T00:00:00Z,59186.98,1.5200014,0
1982-06-16T00:00:00Z,101370.56,1.6982635,0
1982-06-17T00:00:00Z,165440.81,1.7620298,0
1982-06-18T00:00:00Z,217623,2.3330488,0
1982-06-19T00:00:00Z,164581.16,1.7305073,0.00318218
1982-06-20T00:00:00Z,140387.78,1.4588933,0.005568815
1982-06-21T00:00:00Z,144892.92,1.7745386,0.002386635
1982-06-22T00:00:00Z,129251.63,1.7515887,0
1982-06-23T00:00:00Z,73309.63,1.8295363,0.023070803
1982-06-24T00:00:00Z,56338.36,1.4260147,0.019888625
1982-06-25T00:00:00Z,31113.754,1.835386,0.03818616
1982-06-26T00:00:00Z,29986.904,1.9408029,0.023070803
1982-06-27T00:00:00Z,65850.516,1.7158232,0.005568815
1982-06-28T00:00:00Z,108577.84,1.743502,0.003977725
1982-06-29T00:00:00Z,104753.58,1.7406714,0.00159109
1982-06-30T00:00:00Z,60800.277,1.6380423,0.002386635
1982-07-01T00:00:00Z,15041.288,1.6504824,0.002386635
1982-07-02T00:00:00Z,5306.112,1.5636418,0.00318218
1982-07-03T00:00:00Z,1884.8378,1.6895272,0.007159905
1982-07-04T00:00:00Z,2141.5496,1.5785059,0.008750995
1982-07-05T00:00:00Z,7453.1924,1.7009217,0.00954654
1982-07-06T00:00:00Z,5813.866,1.7201722,0.00636436
1982-07-07T00:00:00Z,5818.947,1.5572749,0.003977725
1982-07-08T00:00:00Z,9685.844,1.7213322,0.016706444
1982-07-09T00:00:00Z,55904.05,1.8852787,0.03261734
1982-07-10T00:00:00Z,219110.12,1.8083514,0.027844073
1982-07-11T00:00:00Z,303579.62,1.7777194,0.037390612
1982-07-12T00:00:00Z,369640.88,1.9041718,0.029435163
1982-07-13T00:00:00Z,349433.84,1.8757788,0.022275258
1982-07-14T00:00:00Z,223981.72,1.9076596,0.043754973
1982-07-15T00:00:00Z,155119.2,1.6346668,0
1982-07-16T00:00:00Z,179229.08,2.0804725,0
1982-07-17T00:00:00Z,122043.8,1.8660294,0.00318218
1982-07-18T00:00:00Z,92545.625,1.6827728,0.00318218
1982-07-19T00:00:00Z,84215.3,1.6581949,0.00159109
1982-07-20T00:00:00Z,126479.9,1.923914,0.00159109
1982-07-21T00:00:00Z,106854.57,1.6729949,0.00159109
1982-07-22T00:00:00Z,59542.625,1.7061762,7.96E-04
1982-07-23T00:00:00Z,23206.299,1.690896,0
1982-07-24T00:00:00Z,65691.016,1.9156904,0
1982-07-25T00:00:00Z,49221.973,1.6090091,0
1982-07-26T00:00:00Z,49046.492,1.7474236,0.00159109
1982-07-27T00:00:00Z,56684.207,1.8178979,0
1982-07-28T00:00:00Z,30210.88,1.3101763,0
1982-07-29T00:00:00Z,102912.58,1.5369294,0.003977725
1982-07-30T00:00:00Z,74453.19,1.6726196,0
1982-07-31T00:00:00Z,23273.271,2.0276692,0.002386635
1982-08-01T00:00:00Z,0,,0.005568815
1982-08-02T00:00:00Z,0,,0
1982-08-03T00:00:00Z,0,,7.96E-04
1982-08-04T00:00:00Z,0,,0.028639618
1982-08-05T00:00:00Z,16224.803,1.6314504,0.044550516
1982-08-06T00:00:00Z,12953.351,1.760296,0.043754973
1982-08-07T00:00:00Z,4831.469,1.5663375,0.021479713
1982-08-08T00:00:00Z,58.580704,1.7100708,0.005568815
1982-08-09T00:00:00Z,1505.0831,1.5434957,0.010342084
1982-08-10T00:00:00Z,5393.668,1.6517984,0.01909308
1982-08-11T00:00:00Z,5777.906,1.520553,0.014319809
1982-08-12T00:00:00Z,1855.7368,1.4916437,0.00795545
1982-08-13T00:00:00Z,3878.099,1.9497365,0.00636436
1982-08-14T00:00:00Z,4690.5664,1.9543271,0.00795545
1982-08-15T00:00:00Z,26690.293,1.497915,0.050119333
1982-08-16T00:00:00Z,49263.22,1.5938525,0.074781224
1982-08-17T00:00:00Z,64209.914,1.7706095,0.0318218
1982-08-18T00:00:00Z,29649.027,1.8845261,0.00477327
1982-08-19T00:00:00Z,2091.096,2.3435907,0.00159109
1982-08-20T00:00:00Z,0,,0
1982-08-21T00:00:00Z,14168.542,1.7538598,0.00318218
1982-08-22T00:00:00Z,9873.459,1.5992533,0
1982-08-23T00:00:00Z,10782.864,2.3555498,0.00318218
1982-08-24T00:00:00Z,11119.796,1.8025472,0.00636436
1982-08-25T00:00:00Z,8102.239,1.9469947,0.03977725
1982-08-26T00:00:00Z,11744.198,1.4243779,0.023866348
1982-08-27T00:00:00Z,25916.98,1.5181794,0.06762132
1982-08-28T00:00:00Z,85477.26,1.535099,0.105807476
1982-08-29T00:00:00Z,91855.91,1.8625535,0.17979316
1982-08-30T00:00:00Z,99720.2,1.795007,0.16149563
1982-08-31T00:00:00Z,94527.39,1.5457457,0.12012729
1982-09-01T00:00:00Z,41641.664,1.5232153,0.124105014
1982-09-02T00:00:00Z,93440.39,1.5722772,0.105807476
1982-09-03T00:00:00Z,173866.19,1.6339353,0.14319809
1982-09-04T00:00:00Z,125832.875,2.1485617,0.14478917
1982-09-05T00:00:00Z,32522.256,1.4643977,0.025457438
1982-09-06T00:00:00Z,10887.926,1.5205411,0.00954654
1982-09-07T00:00:00Z,13726.578,1.981752,0.077963404
1982-09-08T00:00:00Z,22015.738,1.6004571,0.103420846
1982-09-09T00:00:00Z,13914.044,1.7032635,0.03818616
1982-09-10T00:00:00Z,1.0833287,1.4237868,0.00954654
1982-09-11T00:00:00Z,7436.1978,1.7389628,0
1982-09-12T00:00:00Z,7928.675,1.752063,7.96E-04
1982-09-13T00:00:00Z,0,,0.00318218
1982-09-14T00:00:00Z,48.00506,1.5246679,0.00318218
1982-09-15T00:00:00Z,4826.47,1.7604362,0.027048528
1982-09-16T00:00:00Z,26506.602,1.6291965,0.05648369
1982-09-17T00:00:00Z,38552.25,1.6102847,0.06762132
1982-09-18T00:00:00Z,57861.883,1.7609034,0.11933174
1982-09-19T00:00:00Z,40019.11,1.9698986,0.09546539
1982-09-20T00:00:00Z,42317.137,1.8584543,0.022275258
1982-09-21T00:00:00Z,51018.867,1.8365978,0.01750199
1982-09-22T00:00:00Z,47322.13,1.8886775,0.00318218
1982-09-23T00:00:00Z,46468.812,1.6065171,0.058870327
1982-09-24T00:00:00Z,66306.84,1.6117861,0.07319014
1982-09-25T00:00:00Z,56392.285,1.9816927,0.100238666
1982-09-26T00:00:00Z,48098.598,1.4965442,0.053301513
1982-09-27T00:00:00Z,58659.656,1.6582468,0.042959426
1982-09-28T00:00:00Z,25490.365,1.937027,0.03341289
1982-09-29T00:00:00Z,4828.27,1.4039073,0
1982-09-30T00:00:00Z,89.75788,1.4163618,7.96E-04
1982-10-01T00:00:00Z,7292.566,1.4780817,0.00477327
1982-10-02T00:00:00Z,31835.91,1.4884437,0.011137629
1982-10-03T00:00:00Z,40610.855,1.4342563,0.003977725
1982-10-04T00:00:00Z,13431.655,1.6414078,0.00318218
1982-10-05T00:00:00Z,21367.295,1.5116042,0.00477327
1982-10-06T00:00:00Z,0,,0.00159109
1982-10-07T00:00:00Z,0,,7.96E-04
1982-10-08T00:00:00Z,0,,0
1982-10-09T00:00:00Z,0,,0
1982-10-10T00:00:00Z,0,,0
1982-10-11T00:00:00Z,0,,0.00636436
1982-10-12T00:00:00Z,0,,0.014319809
1982-10-13T00:00:00Z,356.56863,2.0920296,0.031026253
1982-10-14T00:00:00Z,1366.7092,2.5468557,0.06762132
1982-10-15T00:00:00Z,11982.738,2.0145001,0.06841686
1982-10-16T00:00:00Z,10276.086,1.5779628,0.0548926
1982-10-17T00:00:00Z,6481.966,1.7171762,0.03341289
1982-10-18T00:00:00Z,3820.749,1.4966284,0.044550516
1982-10-19T00:00:00Z,12767.4375,1.1755049,0.03977725
1982-10-20T00:00:00Z,66463.62,1.6316193,0.08989658
1982-10-21T00:00:00Z,124071.03,1.9815464,0.13683373
1982-10-22T00:00:00Z,247891.25,1.9069935,0.13365155
1982-10-23T00:00:00Z,253796.53,1.7526109,0.0867144
1982-10-24T00:00:00Z,182161.25,1.706434,0.099443115
1982-10-25T00:00:00Z,159944.6,1.8496296,0.06841686
1982-10-26T00:00:00Z,134230.42,1.7092837,0.07319014
1982-10-27T00:00:00Z,96744.484,1.7910722,0.07875895
1982-10-28T00:00:00Z,70007.164,1.7114545,0.07319014
1982-10-29T00:00:00Z,101670.81,1.8206115,0.08989658
1982-10-30T00:00:00Z,84525.86,1.7546451,0.08591885
1982-10-31T00:00:00Z,83183.58,1.7317088,0.0795545
1982-11-01T00:00:00Z,88276.07,1.5760715,0.074781224
1982-11-02T00:00:00Z,111954.21,1.9252611,0.074781224
1982-11-03T00:00:00Z,109626.85,1.7876009,0.093874305
1982-11-04T00:00:00Z,116289.73,1.7561464,0.09864757
1982-11-05T00:00:00Z,97297.33,1.611738,0.14319809
1982-11-06T00:00:00Z,156147.58,1.798565,0.11694511
1982-11-07T00:00:00Z,104225.086,1.8538499,0.051710423
1982-11-08T00:00:00Z,49613.723,1.3916118,0.011933174
