"stock","year","S_5","S_50","S_95"
"HUC",2019,8566.84785209831,11814.8043538275,14754.4189586077
"HUC",2020,2977.89064604377,4281.10585079429,6137.05384563066
"HUC",2021,11402.4366218709,14270.2382725166,17761.078765301
"HUC",2022,14130.5051407144,18541.7302196753,24181.9459604009
"HUC",2023,9615.67755660423,12682.7618841167,16758.0086144655
"HUC",2024,2711.93851068916,3567.10551858316,4695.09907361714
"GCL",1977,171210.436246638,208188.170039136,252860.590278643
"GCL",1978,72899.7427127675,88475.9435728274,107679.896920688
"GCL",1979,202634.399553739,245548.953034974,298499.833550454
"GCL",1980,202755.414855401,246736.731530713,299771.702441657
"GCL",1981,159681.958310394,194458.820817686,236784.31234942
"GCL",1982,130556.03980551,159016.915179208,193738.1103699
"GCL",1983,273917.926408888,330311.433274143,400491.744814805
"GCL",1984,108035.321571865,131313.335841397,159191.439456147
"GCL",1985,92634.2595357444,112235.312614303,136305.194203414
"GCL",1986,101614.599121125,122684.664921154,147998.133686012
"GCL",1987,224146.964864715,271211.733392438,327173.968953679
"GCL",1988,158165.767903889,191780.324682755,232299.149722028
"GCL",1989,143596.435791974,173060.547643788,209232.524607849
"GCL",1990,139462.140958122,168396.66585428,204512.174969011
"GCL",1991,323295.369296446,392680.384983414,478038.830092269
"GCL",1992,128135.759252607,156577.390647622,190028.077769392
"GCL",1993,184329.285403953,222992.373373247,270051.491867212
"GCL",1994,93573.1256789815,113098.925438734,137826.346620723
"GCL",1995,35894.909107532,43722.4124189325,53009.6132683744
"GCL",1996,131526.624465465,154118.148379554,180520.626682762
"GCL",1997,148995.648343993,174783.445953248,205270.593200074
"GCL",1998,154345.782306004,181095.59924007,212010.119606046
"GCL",1999,170969.74086079,200004.673059223,234159.681068463
"GCL",2000,46162.028087249,54201.7260197766,64077.3177528268
"GCL",2001,258861.82938657,302322.317777337,353786.653449994
"GCL",2002,219026.729681657,256391.167774253,300448.96023804
"GCL",2003,188274.449829706,221620.872632918,261842.259491863
"GCL",2004,188861.2453315,212011.22300515,237286.870800432
"GCL",2005,154540.931863779,173496.505509498,194684.438091258
"GCL",2006,120934.525590295,135663.251841446,152050.438770186
"GCL",2007,60281.7625515315,67651.0987949812,75751.2623899665
"GCL",2008,16402.7540030594,18251.4167036509,20303.959115688
"GCL",2009,178838.026043664,200656.354260508,225028.390837907
"GCL",2010,235025.768210759,254753.066007,276176.719261797
"GCL",2011,394822.71085277,428105.781519223,464228.409337997
"GCL",2012,135405.420924883,146847.198126352,159537.323443374
"GCL",2013,61455.4157305063,66687.0074692179,72327.981861079
"GCL",2014,61262.8311154263,66537.1586705055,72314.4840600507
"GCL",2015,384525.248667171,416807.199192112,452232.89481307
"GCL",2016,204107.826906551,221458.58075955,240352.025636486
"GCL",2017,115506.48160281,125402.610717745,136244.762505639
"GCL",2018,33723.9043725387,36535.8729785743,39618.2295172466
"GCL",2019,33541.7519394566,36404.3311027483,39496.4003264544
"GCL",2020,100841.332813364,109519.665325796,118831.219860522
"GCL",2021,201827.690429822,218545.357105096,237490.964154551
"GCL",2022,178060.010341129,193236.824198685,209850.78660091
"GCL",2023,111384.12798948,120723.009977555,130975.375313393
"GCL",2024,298123.776556119,323811.525387337,351751.202109527
"SPR",1977,62568.3673348167,76013.7813931646,92359.1744912881
"SPR",1978,29994.5486318149,36541.2250783504,44488.7150917389
"SPR",1979,35454.4418646802,43082.6985195416,52331.7380176607
"SPR",1980,102083.363852359,123882.871423463,150318.623579995
"SPR",1981,97880.6582783887,119000.965430443,144591.228751524
"SPR",1982,176173.464144609,214135.378082106,259734.969894278
"SPR",1983,193628.626730909,234403.13797848,283416.505590998
"SPR",1984,63511.2323095282,77106.0250280399,93547.8261029976
"SPR",1985,94047.2319223154,114406.490991146,138881.581463818
"SPR",1986,143699.927535467,173897.833667824,210055.267194415
"SPR",1987,87341.4663227073,105819.961465442,128268.287476033
"SPR",1988,166887.140583194,201733.303926062,243421.960471459
"SPR",1989,113527.715558128,136846.148624767,164930.67767396
"SPR",1990,83948.1147259491,101648.219803294,122918.437112235
"SPR",1991,113320.551622878,137979.878808048,167716.843811121
"SPR",1992,158181.180321841,191774.644464961,232301.705792482
"SPR",1993,152693.905232154,185091.208019287,224458.418413757
"SPR",1994,116114.686247281,140840.445331665,170654.955346166
"SPR",1995,39522.6272819908,47758.9618266535,57643.989072925
"SPR",1996,166031.795753589,194599.955475471,228301.720741866
"SPR",1997,110724.541970351,130106.324327759,152639.657046201
"SPR",1998,118330.993837608,138635.561777411,162159.925869449
"SPR",1999,139735.845633513,163784.532027531,192077.617151603
"SPR",2000,93632.7944837958,110024.960319845,129328.29461441
"SPR",2001,131183.896752858,153762.085121053,180331.555582612
"SPR",2002,163440.161467225,192093.361210821,225682.542532351
"SPR",2003,134081.379871625,163597.852097784,199760.412507071
"SPR",2004,101145.408779137,113390.588946706,127090.412409514
"SPR",2005,116609.377090223,130641.280247772,146270.517957877
"SPR",2006,56059.2810915279,62821.6835257916,70427.9233804402
"SPR",2007,46694.6546978214,52247.7044107843,58500.9592144683
"SPR",2008,17787.8885450011,19799.0165450831,22041.4087976013
"SPR",2009,115001.916940654,128862.557707611,144479.613551453
"SPR",2010,271568.845587579,294697.633473629,319669.685069546
"SPR",2011,348136.748804986,377693.278651722,409803.675373424
"SPR",2012,176738.251820082,191788.699923974,208146.737782131
"SPR",2013,110682.727682512,120108.514911724,130342.796673836
"SPR",2014,147253.987569037,159838.316786375,173477.989213081
"SPR",2015,288403.226249402,313147.719439856,340019.53227669
"SPR",2016,195797.934398031,212483.65071906,230636.074339157
"SPR",2017,129972.75665369,141045.977207364,153041.004892648
"SPR",2018,135183.420278136,146677.780685533,159088.45951633
"SPR",2019,84436.7534040311,91624.1407400262,99421.5728560418
"SPR",2020,120938.002226537,131214.243464054,142372.725810972
"SPR",2021,97414.7983022426,105695.416808896,114645.757388642
"SPR",2022,335791.259364054,364322.064444787,395419.640637231
"SPR",2023,113028.038709304,122673.13395289,133161.209245832
"SPR",2024,72232.8141456664,78401.6075403446,85111.862701365
