"lake","smolt_year","est","lwr_80","upr_80","cv","estimate_date","interpolated"
"Sproat",1994,4247110.83940664,2950671.46187284,5823035.27661478,0.263380171217717,1994-03-01,"No"
"Hucuktlis",1994,1097232.3888151,604778.162135462,1864329.20702864,0.430465789826289,1994-03-01,"No"
"Great Central",1995,5966822.53217787,4286129.17347778,8167949.75949164,0.252395508488238,1995-03-01,"No"
"Sproat",1995,3723609.6868161,2443605.80641313,5477690.38992311,0.317458931132014,1995-03-01,"No"
"Hucuktlis",1995,3201841.72456503,2169928.65567828,4606340.40216141,0.29348638957088,1995-03-01,"No"
"Great Central",1996,9577449.69183513,7530559.86594034,12024705.08436,0.183714886650811,1996-03-01,"No"
"Sproat",1996,6374383.31032849,4833224.86989976,8317810.97158388,0.213977847552006,1996-03-01,"No"
"Hucuktlis",1996,262340.83430644,106909.534829768,561502.859638906,0.627051369000177,1996-03-01,"No"
"Great Central",1997,3789098.26233407,2612353.76089702,5378992.12782773,0.280085232548785,1997-03-01,"No"
"Sproat",1997,3491501.5636554,2373930.79644506,4955840.9047122,0.284400673894396,1997-03-01,"No"
"Hucuktlis",1997,293688.562081982,117686.044425433,647226.08579538,0.647669416739399,1997-03-01,"No"
"Great Central",1998,11546771.7780628,8661637.09929521,15464033.1365598,0.23355033162643,1998-03-01,"No"
"Sproat",1998,10115143.3431066,7466433.69196765,13241730.6542397,0.225976433850123,1998-03-01,"No"
"Hucuktlis",1998,1126078.52281482,639266.790184225,1856535.8770911,0.412779612989127,1998-03-01,"No"
"Great Central",1999,7792839.6301205,5590270.74210588,10734165.1223456,0.265357395245749,1999-03-01,"No"
"Sproat",1999,5124775.34242272,3472515.06215647,7271620.6532776,0.290303797898151,1999-03-01,"No"
"Hucuktlis",1999,780520.572266499,336438.521627364,1603220.64612701,0.615108739627986,1999-03-01,"No"
"Great Central",2000,7464050.56249739,5526949.93498874,9951161.33431002,0.233033791373522,2000-03-01,"No"
"Sproat",2000,4401939.80908655,3031414.26199867,6181468.84802221,0.277487338895613,2000-03-01,"No"
"Hucuktlis",2000,1390121.40127117,588229.948946361,2929638.04891868,0.618589118134194,2000-03-01,"No"
"Great Central",2001,10685500.5504239,6892882.51485519,16226132.6254595,0.336681290944902,2001-03-01,"No"
"Sproat",2001,5756416.04323581,3496678.78742071,8954824.92438292,0.36784924974829,2001-03-01,"No"
"Hucuktlis",2001,643825.497031254,281262.925946898,1234458.2240148,0.567493139203476,2001-03-01,"No"
"Great Central",2002,2712380.48475005,1289015.25367382,5152006.16159396,0.536228968050108,2002-03-01,"No"
"Sproat",2002,4517782.10471199,2608890.26204652,7442920.63099813,0.405401274559778,2002-03-01,"No"
"Hucuktlis",2002,1406324.00296623,612609.672057843,2969078.41807515,0.605658879055586,2002-03-01,"No"
"Great Central",2003,8126952.9139164,5035397.52914021,12764895.4477634,0.367228541638311,2003-03-01,"No"
"Sproat",2003,2998542.96830351,1520439.2462258,5383285.54815883,0.486028735554693,2003-03-01,"No"
"Hucuktlis",2003,1012690.32547369,392773.352482627,2264651.34733697,0.677845801550407,2003-03-01,"No"
"Great Central",2004,8149364.76355728,4946160.05099136,12584265.5310838,0.355514144655999,2004-03-01,"No"
"Sproat",2004,5802324.09629499,3403412.38461424,9293832.00898621,0.392989558898727,2004-03-01,"No"
"Hucuktlis",2004,1485151.98823023,559714.506042777,3265039.23487905,0.670205299287018,2004-03-01,"No"
"Great Central",2005,6543061.5482618,3857809.89529118,10509004.6799542,0.388720189234742,2005-03-01,"No"
"Sproat",2005,4475430.61884668,2507351.04527343,7604853.37283349,0.42921080080899,2005-03-01,"No"
"Hucuktlis",2005,1075071.16610804,437942.524351375,2309782.8386075,0.642139418234962,2005-03-01,"No"
"Great Central",2006,2709154.91190855,1293604.90541735,5159878.72400034,0.523322187366547,2006-03-01,"No"
"Sproat",2006,2265372.13293375,1079734.56142203,4425310.78192161,0.546174324981294,2006-03-01,"No"
"Hucuktlis",2006,513830.504316812,243114.289653663,995497.538121836,0.540929348772319,2006-03-01,"No"
"Great Central",2007,4144322.0101455,2236207.27642672,7122328.95413625,0.447834969261486,2007-03-01,"No"
"Sproat",2007,2477072.88215691,1184714.07168663,4690699.79051826,0.534586339612729,2007-03-01,"No"
"Hucuktlis",2007,286543.383981141,117221.896755898,626307.476546527,0.667785306108274,2007-03-01,"No"
"Great Central",2008,3288048.86346139,1673015.76435476,5998740.99103475,0.491786475927123,2008-03-01,"No"
"Sproat",2008,3089164.42739338,1643526.29482772,5345401.30306943,0.457898344688139,2008-03-01,"No"
"Hucuktlis",2008,470830.888257989,198403.835635198,998047.77284286,0.624683185521589,2008-03-01,"No"
"Great Central",2009,4961339.09459773,3548743.21491715,6890785.80092556,0.258271715635369,2009-03-01,"No"
"Sproat",2009,3648877.20387045,2500248.57630515,5178690.03518414,0.279142105908776,2009-03-01,"No"
