"year","lake","sample_days","rate_age1","rate_age2","rate_age1+","prop_age1","prop_age2","prop_age1+"
2005,"Great Central",NA,NA,NA,50.0847619047619,NA,NA,NA
2006,"Great Central",21,541.010476190476,50.0847619047619,44.2614814814815,0.851506656844524,0.0788293573697132,0.0696639857857628
2007,"Great Central",27,689.59037037037,44.2614814814815,88.6520565149137,0.838403761192674,0.0538130956354613,0.107783143171865
2008,"Great Central",13,403.578712715856,88.6520565149137,44.3383245149912,0.752146773677354,0.165220206583347,0.082633019739299
2009,"Great Central",9,117.106119929453,44.3383245149912,14,0.667482634176744,0.252720025734592,0.0797973400886637
2010,"Great Central",3,90.3333333333333,14,85.1360667903525,0.476770039248362,0.0738905595883071,0.449339401163331
2011,"Great Central",11,600.773024118738,85.1360667903525,13.5,0.858972283785809,0.12172570802546,0.0193020081887307
2012,"Great Central",2,66,13.5,6.5,0.767441860465116,0.156976744186047,0.0755813953488372
2013,"Great Central",2,41.5,6.5,NA,NA,NA,NA
2014,"Great Central",NA,NA,NA,16,NA,NA,NA
2015,"Great Central",1,41,16,11.3982479784367,0.599430558702698,0.233924120469346,0.166645320827956
2016,"Great Central",12,34.01841868823,11.3982479784367,NA,NA,NA,NA
2017,"Great Central",NA,NA,NA,6.30769230769231,NA,NA,NA
2018,"Great Central",13,64,6.30769230769231,NA,NA,NA,NA
2019,"Great Central",NA,NA,NA,NA,NA,NA,NA
2020,"Great Central",NA,NA,NA,NA,NA,NA,NA
2021,"Great Central",NA,NA,NA,NA,NA,NA,NA
2022,"Great Central",NA,NA,NA,NA,NA,NA,NA
2023,"Great Central",NA,NA,NA,0,NA,NA,NA
1977,"Hucuktlis",1,19,0,0.333333333333333,0.982758620689655,0,0.0172413793103448
1978,"Hucuktlis",3,103,0.333333333333333,0,0.996774193548387,0.0032258064516129,0
1979,"Hucuktlis",3,147.333333333333,0,0,1,0,0
1980,"Hucuktlis",2,100,0,0,1,0,0
1981,"Hucuktlis",3,88,0,0,1,0,0
1982,"Hucuktlis",2,126,0,0,1,0,0
1983,"Hucuktlis",2,98,0,8,0.924528301886792,0,0.0754716981132075
1984,"Hucuktlis",2,173.5,8,0,0.955922865013774,0.0440771349862259,0
1985,"Hucuktlis",2,111.5,0,0,1,0,0
1986,"Hucuktlis",2,81.5,0,1,0.987878787878788,0,0.0121212121212121
1987,"Hucuktlis",2,11.5,1,0.331018518518518,0.896265560165975,0.0779361356666065,0.0257983041674184
1988,"Hucuktlis",3,78.0023148148148,0.331018518518518,0,0.995774231678487,0.004225768321513,0
1989,"Hucuktlis",3,159,0,0,1,0,0
1990,"Hucuktlis",3,77.3333333333333,0,0,1,0,0
1991,"Hucuktlis",2,163,0,1.33333333333333,0.991886409736308,0,0.00811359026369168
1992,"Hucuktlis",3,108.333333333333,1.33333333333333,NA,NA,NA,NA
1993,"Hucuktlis",NA,NA,NA,0,NA,NA,NA
1994,"Hucuktlis",7,184.428571428571,0,0,1,0,0
1995,"Hucuktlis",13,73.3846153846154,0,3,0.960725075528701,0,0.0392749244712991
1996,"Hucuktlis",12,52.8333333333333,3,1.25217391304348,0.925512198837239,0.0525527431516413,0.0219350580111199
1997,"Hucuktlis",10,91.5478260869565,1.25217391304348,0.166666666666667,0.984738179493975,0.0134690632453583,0.00179275726066691
1998,"Hucuktlis",12,57.6666666666667,0.166666666666667,5.2,0.91485986250661,0.00264410364886304,0.0824960338445267
1999,"Hucuktlis",2,121.8,5.2,0,0.959055118110236,0.0409448818897638,0
2000,"Hucuktlis",2,29,0,2.45333333333333,0.922000847816872,0,0.0779991521831284
2001,"Hucuktlis",2,13.5466666666667,2.45333333333333,0,0.846666666666667,0.153333333333333,0
2002,"Hucuktlis",2,21,0,0,1,0,0
2003,"Hucuktlis",26,4.38461538461539,0,2.42857142857143,0.643548387096774,0,0.356451612903226
2004,"Hucuktlis",7,25,2.42857142857143,0.115384615384615,0.907640135647317,0.0881707560343108,0.00418910831837223
2005,"Hucuktlis",26,6.96153846153846,0.115384615384615,0,0.983695652173913,0.016304347826087,0
2006,"Hucuktlis",1,17,0,1,0.944444444444444,0,0.0555555555555556
2007,"Hucuktlis",3,202.333333333333,1,0.666666666666667,0.991830065359477,0.00490196078431373,0.00326797385620915
2008,"Hucuktlis",3,96.6666666666667,0.666666666666667,1.00854700854701,0.982965409351643,0.00677907178863202,0.0102555188597254
2009,"Hucuktlis",1,116.991452991453,1.00854700854701,0,0.991452991452991,0.00854700854700855,0
2010,"Hucuktlis",2,58,0,2,0.966666666666667,0,0.0333333333333333
2011,"Hucuktlis",2,90.5,2,0,0.978378378378378,0.0216216216216216,0
2012,"Hucuktlis",3,1.66666666666667,0,0.5,0.769230769230769,0,0.230769230769231
2013,"Hucuktlis",2,74,0.5,0,0.993288590604027,0.00671140939597315,0
2014,"Hucuktlis",2,46,0,0,1,0,0
2015,"Hucuktlis",2,36,0,NA,NA,NA,NA
2016,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2017,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2018,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
